id,type,attributes_organization_id,attributes_organization_name,attributes_organization_abbreviation,attributes_service_provider_id,attributes_service_provider_name,attributes_collection_id,attributes_collection_name,attributes_collection_year,attributes_collection_quarter,attributes_service_provided,attributes_transaction_point,attributes_channel,attributes_volume_of_customers,attributes_volume_of_customers_provided_survey_opportunity,attributes_volume_of_respondents,attributes_omb_control_number,attributes_federal_register_url,attributes_q1_text,attributes_q1_1,attributes_q1_2,attributes_q1_3,attributes_q1_4,attributes_q1_5,attributes_q1_point_scale,attributes_q2_text,attributes_q2_1,attributes_q2_2,attributes_q2_3,attributes_q2_4,attributes_q2_5,attributes_q2_point_scale,attributes_q3_text,attributes_q3_1,attributes_q3_2,attributes_q3_3,attributes_q3_4,attributes_q3_5,attributes_q3_point_scale,attributes_q4_text,attributes_q4_1,attributes_q4_2,attributes_q4_3,attributes_q4_4,attributes_q4_5,attributes_q4_point_scale,attributes_q5_text,attributes_q5_1,attributes_q5_2,attributes_q5_3,attributes_q5_4,attributes_q5_5,attributes_q5_point_scale,attributes_q6_text,attributes_q6_1,attributes_q6_2,attributes_q6_3,attributes_q6_4,attributes_q6_5,attributes_q6_point_scale,attributes_q7_text,attributes_q7_1,attributes_q7_2,attributes_q7_3,attributes_q7_4,attributes_q7_5,attributes_q7_point_scale,attributes_q8_text,attributes_q8_1,attributes_q8_2,attributes_q8_3,attributes_q8_4,attributes_q8_5,attributes_q8_point_scale,attributes_q9_text,attributes_q9_1,attributes_q9_2,attributes_q9_3,attributes_q9_4,attributes_q9_5,attributes_q9_point_scale,attributes_q10_text,attributes_q10_1,attributes_q10_2,attributes_q10_3,attributes_q10_4,attributes_q10_5,attributes_q10_point_scale,attributes_q11_text,attributes_q11_1,attributes_q11_2,attributes_q11_3,attributes_q11_4,attributes_q11_5,attributes_q11_point_scale,attributes_created_at,attributes_updated_at,attributes_operational_metrics,attributes_service_id,attributes_service_name,attributes_service_slug,service_desc,service_provider_desc
273,omb_cx_reporting_collections,2138,Department of Commerce,DOC,3,United States Patent and Trademark Office,91,CX Quarterly Reporting,2021,4,First office action during Trademark application prosecution,Within one week of receiving first office action,email,67598.0,22460.0,450,0690-0035,,I am satisfied with the office action I received.,117,58,87,88,100,2.99,This interaction increased my confidence in the USPTO.,108,66,97,79,100,2.99,Have you been able to obtain enough information to determine next steps? (My need was addressed),93,0,56,0,301,3.92,,0,0,0,0,0,,,0,0,0,0,0,,I was treated fairly.,76,44,108,86,136,3.36,The examining attorney I interacted with was helpful.,7,7,17,22,69,4.14,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T20:07:39.623Z,2021-10-20T14:40:36.493Z,,6,Filing an initial application form for a trademark registration,doc-trademarks,"The Trademark organization intends to serve all people and businesses who conduct commerce in the United States and would like to federally register their trademarks. Customers range from individual entrepreneurs and local small businesses to multinational corporations. 

Businesses and business owners are a key customer group for the initial application form. This group may use the application form on many occasions, such as starting a business, rebranding, or expanding the goods and services they offer. 

Attorneys and legal professionals who specialize in trademark law make up an additional key customer group. This group represents trademark owners and may use the initial application form if their clients are seeking a federal trademark registration. ","The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%."
274,omb_cx_reporting_collections,2138,Department of Commerce,DOC,3,United States Patent and Trademark Office,91,CX Quarterly Reporting,2021,4,U.S. Trademarks mobile website,Online survey,mobile,1338134.0,669067.0,391,0690-0035,,What is your overall satisfaction with this site?,27,40,45,97,182,3.94,This interaction increased my confidence in the USPTO.,25,22,82,83,179,3.94,My need was addressed. ,50,38,58,85,160,3.68,It was easy to complete what I needed to do.,45,41,81,66,158,3.64,It took a reasonable amount of time to do what I needed to do.,30,46,68,93,154,3.75,,0,0,0,0,0,,,0,0,0,0,0,,The information provided was clear.,35,35,67,83,171,3.82,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T20:07:39.633Z,2021-10-04T22:00:04.589Z,,6,Filing an initial application form for a trademark registration,doc-trademarks,"The Trademark organization intends to serve all people and businesses who conduct commerce in the United States and would like to federally register their trademarks. Customers range from individual entrepreneurs and local small businesses to multinational corporations. 

Businesses and business owners are a key customer group for the initial application form. This group may use the application form on many occasions, such as starting a business, rebranding, or expanding the goods and services they offer. 

Attorneys and legal professionals who specialize in trademark law make up an additional key customer group. This group represents trademark owners and may use the initial application form if their clients are seeking a federal trademark registration. ","The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%."
275,omb_cx_reporting_collections,2138,Department of Commerce,DOC,3,United States Patent and Trademark Office,91,CX Quarterly Reporting,2021,4,U.S. Trademarks desktop website,www.uspto.gov  ,computer,6029849.0,1205970.0,1643,0690-0035,,What is your overall satisfaction with this site?,135,110,182,489,727,3.95,This interaction increased my confidence in the USPTO.,102,108,394,493,546,3.77,My need was addressed. ,115,150,281,462,635,3.82,It was easy to complete what I needed to do.,165,199,329,441,509,3.57,It took a reasonable amount of time to do what I needed to do.,148,155,290,509,541,3.69,,0,0,0,0,0,,,0,0,0,0,0,,The information provided was clear.,129,129,284,500,601,3.8,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T20:07:39.642Z,2021-10-04T22:02:53.794Z,,6,Filing an initial application form for a trademark registration,doc-trademarks,"The Trademark organization intends to serve all people and businesses who conduct commerce in the United States and would like to federally register their trademarks. Customers range from individual entrepreneurs and local small businesses to multinational corporations. 

Businesses and business owners are a key customer group for the initial application form. This group may use the application form on many occasions, such as starting a business, rebranding, or expanding the goods and services they offer. 

Attorneys and legal professionals who specialize in trademark law make up an additional key customer group. This group represents trademark owners and may use the initial application form if their clients are seeking a federal trademark registration. ","The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%."
276,omb_cx_reporting_collections,2138,Department of Commerce,DOC,3,United States Patent and Trademark Office,91,CX Quarterly Reporting,2021,4,General trademark assistance via phone,Within one week of call,email,26354.0,13931.0,1468,0690-0035,,What is your overall satisfaction with this telephone customer service experience?,81,29,32,124,1202,4.59,Please rate your level of confidence in the Trademark Assistance Center.  ,66,25,54,140,1183,4.6,The extent to which my issue or request was resolved. ,110,25,50,110,1149,4.5,How easy it was to reach a representative.,35,42,64,241,1084,4.57,"After being connected to a representative, the amount of time I was on the phone.",32,24,130,257,1001,4.5,I was treated fairly.,46,20,38,116,1248,4.7,Employees I interacted with were helpful.,61,28,48,131,1200,4.62,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T20:07:39.650Z,2021-10-20T14:41:41.820Z,,6,Filing an initial application form for a trademark registration,doc-trademarks,"The Trademark organization intends to serve all people and businesses who conduct commerce in the United States and would like to federally register their trademarks. Customers range from individual entrepreneurs and local small businesses to multinational corporations. 

Businesses and business owners are a key customer group for the initial application form. This group may use the application form on many occasions, such as starting a business, rebranding, or expanding the goods and services they offer. 

Attorneys and legal professionals who specialize in trademark law make up an additional key customer group. This group represents trademark owners and may use the initial application form if their clients are seeking a federal trademark registration. ","The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%."
277,omb_cx_reporting_collections,2138,Department of Commerce,DOC,3,United States Patent and Trademark Office,91,CX Quarterly Reporting,2021,4,Trademark Electronic Filing System (TEAS),After filing a form customers receive a confirmation email that contains instructions and the link to the survey,computer,391826.0,391826.0,39,0690-0035,,I am satisfied with the filing experience using TEAS.,7,3,4,9,16,3.62,This interaction increased my confidence in the USPTO.,7,1,7,5,19,3.72,Did you accomplish what you wanted to today?,4,0,0,0,35,4.59,It was easy to complete what I needed to do.,10,3,5,6,15,3.33,It took a reasonable amount of time to do what I needed to do.,7,5,6,6,15,3.44,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T20:07:39.658Z,2021-10-01T22:00:58.950Z,,6,Filing an initial application form for a trademark registration,doc-trademarks,"The Trademark organization intends to serve all people and businesses who conduct commerce in the United States and would like to federally register their trademarks. Customers range from individual entrepreneurs and local small businesses to multinational corporations. 

Businesses and business owners are a key customer group for the initial application form. This group may use the application form on many occasions, such as starting a business, rebranding, or expanding the goods and services they offer. 

Attorneys and legal professionals who specialize in trademark law make up an additional key customer group. This group represents trademark owners and may use the initial application form if their clients are seeking a federal trademark registration. ","The mission of the United States Patent and Trademark Office (USPTO) is to ensure that the intellectual property system contributes to a strong global economy, encourages investment in innovation, and fosters entrepreneurial spirit. In 2020, USPTO responded to the continued demand for patents and trademarks to protect new ideas and investments in innovation by servicing over 600,000 patent applications, over 400,000 trademark registrations, and increasing all-electronic processing of trademark applications to 88.7%."
278,omb_cx_reporting_collections,2135,Department of the Interior,DOI,6,Bureau of Trust Funds Administration,92,CX Quarterly Reporting,2021,4,Customer Services to the beneficiaries of the Tribal and Individual trust funds managed by BTFA.,Trust Beneficiary Call Center,automated_phone,40381.0,2418.0,109,1090-0007,,I am satisfied with the service I received from the Trust Beneficiary Call Center.,23,5,6,29,46,3.64,My interaction increased my confidence in the Office of the Special Trustee for American Indians.,21,6,9,32,41,3.61,My need was addressed. ,20,6,7,23,53,3.76,It was easy to complete what I needed to do.,21,6,8,24,50,3.7,It took a reasonable amount of time to do what I needed to do.,20,7,13,25,44,3.61,I was treated fairly.,19,5,3,23,59,3.9,The representative I interacted with was helpful..,17,5,5,22,60,3.94,The representative I interacted with was able to understand my question or issue.,15,4,6,25,59,4.0,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T22:51:45.394Z,2021-10-19T20:29:59.021Z,"The pandemic driven telework solution and temporary call management queue is still being used for responding to incoming beneficiary inquiries.Unfortunately, the workaround does not include the ability to capture performance metrics such as: speed to answer, call handle time and abandoned rate.  Therefore, we are unable to report performance metrics for Q4.",8,Contacting the Trust Beneficiary contact center,doi-tbcc,The Trust Beneficiary Call Center (TBCC) plays a critical role in the delivery of trust fund management services to Indian trust beneficiaries. The TBCC provides an easy-to-access primary point of contact for making inquiries about their trust assets. TBCC surveys customers who use the Interactive Voice Response (IVR).,"Bureau of Trust Funds Administration (BTFA) manages over $8.2 billion in monetary trust assets, and delivers trust funds accounting and management services to Indian trust beneficiaries.  BTFA’s trust responsibilities include holding funds for Tribes and funds for individuals (i.e., Individual Indian Monies (IIM) accounts). Tribal and Other Trust Funds are comprised of approximately 4,100 accounts with monetary assets of approximately $6.8 billion and over 408,000 Individual Indian Monies (IIM) accounts with monetary assets of approximately $1.4 billion. "
279,omb_cx_reporting_collections,2098,Department of Agriculture,USDA,5,Recreation.gov,93,CX Quarterly Reporting,2021,4,Recreation.gov,"5% of website users are presented with the survey after visiting 5 pages, and spending more than one minute on the site",computer,15300000.0,10555.0,10555,0504-0024,,I am satisfied with the service I received from Recreation.gov,18,10,17,22,33,3.42,This interaction increased my confidence in Recreation.gov,18,10,17,22,33,3.42,I was able to accomplish what I wanted to do on Recreation.gov,23,9,10,21,38,3.42,It was easy to complete what I needed to do. ,24,10,11,19,35,3.31,It took a reasonable amount of time to do what I needed to do,21,9,13,23,34,3.4,I understood what was being asked of me throughout my visit to Recreation.gov,12,7,13,28,40,3.77,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-23T22:54:23.606Z,2022-01-21T17:15:04.190Z,"From July 1 through September 30, 2021, Recreation.gov hosted 17.2 million users, 32.1 million sessions and 103 million pageviews, which is about double for all datapoints from the previous quarter.  Also during this time, 2.1 million online transactions were processed.  The overall Net Promoter Score for Q3 dropped to 12.5, down from 23 in Q2 in FY21. This decrease is mostly due to the lack of availability of sites that have been booked in advance and the increased demand for recreation opportunities.",7,Reserving a campsite on Recreation.gov,reserving-a-campsite,"Recreation.gov users are predominantly domestic with 98 percent of all sessions conducted within the United States.  Visitors to Recreation.gov often seek inspiration for a trip, research destinations, learn about details for a successful visit, and make reservations. Camping provides an authentic and immersive experience within public land and water destinations across the country.  These experiences influence how visitors value these public spaces and can lead to a lifetime of connection and stewardship.","Recreation.gov provides a gateway to discover our nation's hidden treasures and engage in timeless outdoor recreation and cultural activities. 21,000,000+ users, reserve experiences at over 4,200 facilities and 113,000 individual sites across the country."
280,omb_cx_reporting_collections,2111,Department of Education,ED,15,Federal Student Aid,94,CX Quarterly Reporting,2021,4,myStudentAid app,At FAFSA submission,mobile,89000.0,89000.0,740,1845-0045,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201605-1845-002,"Using a 10-point scale on which '1' means 'very dissatisfied' and 10 means 'very satisfied', how satisfied are you with your experience using the myStudentAid app? (myStudentAid App mobile FAFSA)",20,20,40,90,570,4.58,"Using a scale of 1 to 10 where '1' means 'not at all likely' and '10' means 'very likely', how likely would you be to use the myStudentAid App to apply for federal student aid in the future?  (myStudentAid App mobile FAFSA)",10,20,30,50,570,4.69,"On a scale from 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate the effectiveness of the help topics answering your questions?  (myStudentAid App mobile FAFSA)",10,30,30,70,260,4.35,"On a scale from 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate The ease of navigating through the application.  (myStudentAid App mobile FAFSA)",20,10,30,80,540,4.63,"Using a 10-point scale on which '1' now means 'Falls Short of your Expectations' and '10' means 'Exceeds your Expectations', to what extent did your experience using the myStudentAid App meet your expectations?  (myStudentAid App mobile FAFSA)",20,20,40,120,540,4.54,"Imagine your ideal for an app to apply for federal student aid. How well do you think the myStudentAid app compares with the ideal you just imagined? Use a 10-point scale on which '1' means 'not very close to the ideal,' and '10' means 'very close to the ideal.' (myStudentAid App mobile FAFSA)",20,20,50,110,530,4.52,"On a scale of 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate the Courtesy of the representative who helped you.",50,10,50,110,520,4.41,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:42:58.924Z,2021-11-01T19:52:16.813Z,"• myStudentAid app downloads (iOS and Android): =  505,000
• myStudentAid app FAFSA submissions (iOS and Android): 89,000
• Number of customers checking loan balances via the myStudentAid mobile app (iOS and Android): 598,000

",22,Applying for Financial Aid,ed-fsa,FSA measures customer satisfaction of the FAFSA submission process on its FAFSA.gov and the myStudentAid App. ,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually."
281,omb_cx_reporting_collections,2111,Department of Education,ED,15,Federal Student Aid,94,CX Quarterly Reporting,2021,4,FAFSA.gov,at FAFSA submission,computer,2500000.0,447000.0,5850,1845-0045,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201605-1845-002,"Using a 10-point scale on which '1' means 'very dissatisfied' and 10 means 'very satisfied', how satisfied are you with your experience using fafsa.gov? (FAFSA.gov)",320,180,440,950,3970,4.38,"Using a scale of 1 to 10 where '1' means 'not at all likely' and '10' means 'very likely', how likely would you be to use the Web site to apply for federal student aid in the future?   (FAFSA.gov)",180,100,390,680,4500,4.58,"On a scale from 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate how useful the help was  (FAFSA.gov)",160,120,270,530,1950,4.32,"On a scale from 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate The ease of navigating through the application.  (FAFSA.gov)",290,160,440,880,4070,4.42,"On a scale of 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate The time it took to answer your question.  (FAFSA.gov)",80,30,80,130,530,4.18,"Imagine the ideal Web site for applying for federal student aid. How well do you think fafsa.gov compares with the ideal you just imagined? Use a 10-point scale on which '1' means 'not very close to the ideal,' and '10' means 'very close to the ideal.' (FAFSA.gov)",330,220,550,1110,3640,4.28,"On a scale of 1 to 10, where '1' means 'poor' and '10' means 'excellent', how would you rate the Courtesy of the representative who helped you.  (FAFSA.gov)",50,10,50,110,520,4.41,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:42:58.935Z,2021-11-03T13:34:26.309Z,"• FAFSA.gov visits: 14.7million
• FAFSA applications submitted: 2.5 million
",22,Applying for Financial Aid,ed-fsa,FSA measures customer satisfaction of the FAFSA submission process on its FAFSA.gov and the myStudentAid App. ,"Federal Student Aid (FSA) seeks to ensure that all eligible individuals can benefit from Federal financial assistance for education beyond high school. FSA provides more than $120 billion in grants, work-study, and loan funds each year to help pay for college or career school. FSA processes approximately 20 million FAFSA submissions annually."
284,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,Accounts Management Toll-Free Telephone Service,After calling the IRS Toll-Free line for service over the phone.,automated_phone,3403769.0,20887.0,1025,1545-2290,,I am satisfied with the service I received from the IRS,59,37,80,166,683,4.34,This interaction increased my trust in the IRS,71,50,136,188,565,4.11,My need was addressed,54,30,61,130,623,4.38,It was easy to complete what I needed to do,88,66,99,149,493,4.0,It took a reasonable amount of time to do what I needed to do,127,89,108,162,404,3.7,I was treated fairly,24,10,38,89,693,4.66,The employees I interacted with were helpful.,18,14,29,76,715,4.71,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.643Z,2021-10-27T12:23:20.135Z,"Toll-Free Tax Law Accuracy – 92.8%
Toll-Free Accounts Accuracy - 93%
",16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
285,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,IRS.gov Online Account,Random selection after successfully authenticating into the IRS Online Account application on a computer,computer,6159044.0,1462839.0,41159,1545-2290,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201805-1090-003,I am satisfied with the service I received from the online tax account tool,8367,4956,6623,8569,12644,3.3,This interaction increased my trust in the IRS,6565,3681,11518,8862,10533,3.32,The online tax account tool met my needs,9670,5113,6192,7699,12485,3.2,It was easy to find what I needed,8393,4936,6737,8753,12340,3.28,It took a reasonable amount of time to do what I needed to do.,7058,3929,7641,9501,13030,3.43,NONE,0,0,0,0,0,,NONE,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.650Z,2021-10-17T15:57:32.926Z,"Total Sessions – 13,427,730 (across all device types)
Unique Users –5,767,761 (across all device types)
",16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
286,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,IRS.gov,Random selection after visiting any IRS.gov PUP page on a computer. 50/50 split of being presented with main survey or beta survey,computer,76985391.0,3079065.0,34473,1545-2290,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201805-1090-003,I am satisfied with the service I received from IRS.gov.,12216,6422,4718,6706,4411,2.56,This interaction increased my trust in the IRS.,8945,5163,11083,5959,3323,2.7,My need was addressed. ,14882,5950,3040,5878,4723,2.41,It was easy to complete what I needed to do.,12153,5001,4500,7544,5275,2.67,It took a reasonable amount of time to do what I needed to do.,9977,4278,5610,9124,5484,2.88,NONE,0,0,0,0,0,,NONE,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.657Z,2021-10-17T15:26:21.228Z,"Total Public User Portal IRS.gov Sessions – 219,600,342
Public User Portal IRS.gov Pageviews – 709,599,660
",16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
287,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,Field Assistance Appointment Service Follow-Up,Customers who take the initial Field Assistance Appointment Service survey can opt-in to participate in a follow-up survey approximately one month later.,mixed,404776.0,1849.0,529,1545-2290,,I am satisfied with the service I received from the IRS,61,83,46,180,156,3.55,This interaction increased my trust in the IRS,48,69,93,187,128,3.53,My need was addressed,72,66,38,164,169,3.57,It was easy to complete what I needed to do,98,92,59,146,114,3.17,It took a reasonable amount of time to do what I needed to do,111,95,47,148,109,3.1,I was treated fairly,30,25,49,178,227,4.07,The employees I interacted with were helpful.,37,29,32,151,259,4.11,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.663Z,2021-10-20T12:17:03.676Z,"Assistor Contacts (Face-to-Face) - 939,414
Total Appointments Scheduled  - 665,143
Toll-Free Accounts Accuracy -  93%
Field Assistance Accuracy -  95%
",16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
288,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,Field Assistance Appointment Service,When calling to schedule an appointment for face-to-face service.,phone,404776.0,126129.0,4777,1545-2290,,I am satisfied with the service I received from the IRS,499,196,330,772,2927,4.15,This interaction increased my trust in the IRS,527,195,651,933,2471,3.97,My need was addressed,499,160,271,582,2820,4.17,It was easy to complete what I needed to do,609,288,434,739,2240,3.86,It took a reasonable amount of time to do what I needed to do,778,444,505,745,1810,3.55,I was treated fairly,325,89,182,522,3155,4.43,The employees I interacted with were helpful.,309,82,130,365,3379,4.51,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.670Z,2021-10-20T12:15:12.299Z,"Assistor Contacts (Face-to-Face) - 939,414
Total Appointments Scheduled  - 665,143
Toll-Free Accounts Accuracy - 93%
",16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
289,omb_cx_reporting_collections,2123,Internal Revenue Service,IRS,18,Internal Revenue Service,96,CX Quarterly Reporting,2021,4,Automated Collection System Toll-Free Survey,After calling the IRS ACS Toll-Free line for service over the phone.,phone,1703459.0,39179.0,1788,1545-2290,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=202005-1545-007,I am satisfied with the service I received from IRS.gov.,60,39,72,256,1339,4.57,This interaction increased my trust in the IRS.,69,36,204,322,1107,4.36,My need was addressed,46,25,65,162,1435,4.68,It was easy to complete what I needed to do,122,96,125,284,1110,4.25,It took a reasonable amount of time to do what I needed to do,272,141,166,283,855,3.76,I was treated fairly,19,11,54,118,1524,4.81,The employees I interacted with were helpful,21,16,30,99,1554,4.83,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:49:09.676Z,2021-10-19T16:47:51.460Z,,16,Visiting IRS.gov,treas-irs,IRS sends surveys to those who visit IRS.gov.,"The Internal Revenue Service (IRS) processed more than 240.2 million Federal tax returns and supplemental documents in 2020, collecting close to $3.5 trillion in gross taxes and issuing almost 122 million refunds."
290,omb_cx_reporting_collections,2134,U.S. Citizenship and Immigration Services,USCIS,35,Citizenship and Immigration Services,97,CX Quarterly Reporting,2021,4,Contact Center Services,Follow up survey after contact with 1-800 number,computer,3651670.0,3651670.0,22927,1615-0121,https://www.reginfo.gov/public/do/PRAViewICR?ref_nbr=201801-1615-001,I am satisfied with the service I received from the USCIS Contact Center.,2782,989,709,2821,15357,4.19,This interaction increased my confidence in the USCIS Contact Center 1-800 Number.,2599,1000,1272,3000,14726,4.16,My need was addressed. ,2847,947,1027,3552,14205,4.12,It was easy to complete what I needed to do.,3346,1288,1408,3808,12750,3.94,It took a reasonable amount of time to do what I needed to do.,4147,1826,1997,4435,10164,3.65,I was treated fairly.,1593,626,1333,1875,17157,4.43,Employees I interacted with were helpful.,1874,795,881,1757,17272,4.41,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-09-24T21:51:21.199Z,2021-12-09T19:05:45.490Z,USCIS Contact Center Assessment Survey (CCAS),21,Contacting the USCIS contact center,dhs-uscis,"The USCIS Contact Center is the centralized resource for providing information services to the public. The Contact Center helps the public using multiple channels to provide accurate, timely and consistent information about applications and benefits. They employ a multi-tiered, integrated framework to address inquiries ranging from simple case status questions to those who have experienced significant issues or long delays.","U.S. Citizen and Immigration Services (USCIS) is the government agency that oversees lawful immigration to the United States. Every day, USCIS staff adjudicates more than 26,000 requests for immigration benefits, processes refugee applications around the world in support of refugee admissions, responds to 150,000 inquiries and services requests, grants lawful permanent residence to more than 2,500 people and nearly 6,200 Green Cards, and ensures the employment eligibility of 100,000 new hires in the United States."
291,omb_cx_reporting_collections,2106,Office of Personnel Management ,OPM,13,Retirement Services,98,CX Quarterly Reporting,2021,4,Services Online,After logging out of SOL,computer,595840.0,529869.0,14101,1090-0008,Federal Register URL,I am satisfied with the service I received from Services Online.,613,410,1085,2971,9022,4.37,This interaction increased my confidence in Services Online.,666,495,1673,3210,8057,4.24,My need was addressed.,1007,494,919,2255,9426,4.32,It was easy to complete what I needed to do.,962,534,1044,2447,9114,4.29,It took a reasonable amount of time to do what I needed to do.,1013,648,1231,2586,8623,4.22,I was easily able to access the website on my device.,338,228,783,2576,10176,4.56,The website helped me do what I needed to do.,930,494,925,2334,9418,4.33,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,2021-10-04T02:18:36.744Z,2021-10-06T17:11:28.900Z,,18,Applying for retirement benefits,opm-rs,"Surveys are sent to those who are filing retirement claims and other customer services transactions via email, phone and website. ","Provides benefits for more than 2.7 million annuitants, survivors, and family members."
