ID,UUID,Satisfaction,Trust/Confidence,Effectiveness/Quality,UserGroup,Years,Region,Ease/Simplicity,Efficiency/Speed,Equity/Transparency,Helpfulness,FreeText,Created At,Page,Referrer,User Agent
2023-08-27_17:35:06-11,22810f80-fc72-,4,4,4,Group3,3-4 years,Region4,1,4,4,3,,2022-03-06 03:58:28 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30"
2023-08-27_17:35:06-12,4f3e22df-8281-,4,5,4,Group4,4-5 years,Region5,5,5,5,5,,2022-03-06 13:52:13 UTC,/contact/,https://resources.beepbeep.gov/,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 530 Dual SIM) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537"
2023-08-27_17:35:06-13,901667c8-b430-,5,4,5,Group4,4-5 years,Region3,4,3,3,2,,2022-03-07 18:01:44 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 12; Pixel 4a) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.58 Mobile Safari/537.36"
2023-08-27_17:35:06-14,5a52a44f-bb05-,5,5,5,Group4,3-4 years,Region5,5,5,5,3,,2022-03-08 10:38:14 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30"
2023-08-27_17:35:06-15,2295da65-855d-,4,5,5,Group4,3-4 years,Region4,3,4,2,3,,2022-03-08 21:42:33 UTC,/contact/,https://beepbeep.doi.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.62"
2023-08-27_17:35:06-16,c65a953f-7f1b-,4,5,5,Group3,3-4 years,Region3,3,4,3,2,,2022-03-09 04:00:15 UTC,/contact/,https://beepbeep.gov/maritime/contact/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36"
2023-08-27_17:35:06-17,d55a2e3e-59b8-,3,3,3,Group3,2-3 years,Region3,3,2,3,3,,2022-03-09 04:00:15 UTC,/contact/,https://beepbeep.gov/maritime/contact/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36"
2023-08-27_17:35:06-18,7b6f006e-24bf-,4,4,4,Group3,3-4 years,Region3,2,4,1,1,,2022-03-09 04:00:20 UTC,/contact/,https://beepbeep.gov/energy/contact/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36"
2023-08-27_17:35:06-19,0137106e-eb26-,5,5,5,Group4,4-5 years,Region5,4,5,3,5,,2022-03-09 04:00:20 UTC,/contact/,https://beepbeep.gov/energy/contact/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.16 Safari/537.36"
2023-08-27_17:35:06-20,342ea1b8-e4d3-,3,4,3,Group3,1-2 years,Region3,4,2,4,4,,2022-03-09 17:23:33 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30"
2023-08-27_17:35:06-21,0c6ecc78-c7e5-,4,3,5,Group2,1-2 years,Region4,1,1,1,2,,2022-03-10 02:41:33 UTC,/contact/,nan,"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930A) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/16.2 Chrome/92.0.4515.166 Mobile Safari/537.36"
2023-08-27_17:35:06-22,7f519fbc-f1c0-,4,5,5,Group5,4-5 years,Region5,4,5,4,2,,2022-03-10 14:27:40 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-23,3df36405-7dd8-,5,3,4,Group4,2-3 years,Region4,2,2,2,1,,2022-03-10 19:39:57 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-24,eddbda74-3c8a-,4,4,4,Group3,4-5 years,Region5,1,3,2,1,,2022-03-10 19:40:17 UTC,/contact/,https://beepbeep.gov/contact/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-25,f8843664-d4b0-,4,3,4,Group4,3-4 years,Region4,2,2,2,2,,2022-03-11 00:20:43 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-26,d95aca09-1a5d-,4,4,4,Group5,3-4 years,Region3,3,5,3,3,,2022-03-11 07:04:04 UTC,/contact/,https://beepbeep.gov/maritime/contact/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
2023-08-27_17:35:06-27,1fa58deb-3fa1-,4,5,4,Group4,2-3 years,Region2,3,3,4,4,,2022-03-11 07:04:04 UTC,/contact/,https://beepbeep.gov/maritime/contact/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
2023-08-27_17:35:06-28,9907bbbf-696e-,5,4,4,Group4,1-2 years,Region4,2,4,2,2,,2022-03-11 13:52:08 UTC,/contact/,https://beepbeep.gov/request/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0
2023-08-27_17:35:06-29,dd4ae15e-6b6d-,3,4,4,Group4,3-4 years,Region4,4,5,4,4,,2022-03-12 21:18:41 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-30,b0dd76c0-2a40-,5,4,5,Group4,3-4 years,Region5,4,4,4,4,,2022-03-12 21:18:42 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-31,a2417fc6-2fc1-,4,4,3,Group2,1-2 years,Region2,1,1,1,1,,2022-03-12 21:18:55 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-32,0d61c3df-ad0a-,4,4,4,Group3,2-3 years,Region3,3,3,3,4,,2022-03-12 21:18:56 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-33,d83f2c51-bf73-,4,5,4,Group4,3-4 years,Region5,5,2,2,2,,2022-03-12 21:20:19 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-34,81c79092-547f-,4,5,4,Group4,2-3 years,Region3,3,2,2,3,,2022-03-12 21:20:20 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-35,036c4b4a-15e2-,4,5,4,Group4,2-3 years,Region4,4,5,4,4,,2022-03-12 21:20:58 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-36,02eefb15-2a4e-,3,5,4,Group4,3-4 years,Region4,4,2,4,3,,2022-03-12 21:20:58 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.2309.372 Safari/537.36"
2023-08-27_17:35:06-37,f9328a18-5c41-,5,4,5,Group4,4-5 years,Region5,3,3,3,1,,2022-03-13 00:26:20 UTC,/contact/,https://beepbeep.gov/request/,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-38,8ec2bfac-307b-,4,4,4,Group3,0-1 years,Region3,3,4,2,2,,2022-03-13 00:26:20 UTC,/contact/,https://beepbeep.gov/request/,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-39,c2cbf414-4b41-,3,4,3,Group4,2-3 years,Region4,2,4,2,2,,2022-03-13 00:26:32 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-40,a561de77-feed-,5,5,5,Group5,4-5 years,Region5,2,2,3,2,,2022-03-13 00:26:33 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-41,e8923fd2-9a81-,4,2,3,Group2,2-3 years,Region4,4,2,4,3,,2022-03-13 00:26:45 UTC,/contact/,https://beepbeep.gov/food/contact/,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-42,c4eaac4b-7adb-,4,4,3,Group2,1-2 years,Region2,2,4,3,3,,2022-03-13 00:26:45 UTC,/contact/,https://beepbeep.gov/food/contact/,Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0
2023-08-27_17:35:06-43,2a633b4a-4a86-,3,4,4,Group3,2-3 years,Region4,4,3,2,2,,2022-03-13 00:44:42 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.39"
2023-08-27_17:35:06-44,50498370-e489-,4,5,5,Group5,3-4 years,Region5,4,4,4,4,,2022-03-13 06:37:09 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-45,a3b8f643-7593-,4,4,3,Group4,2-3 years,Region4,3,1,3,1,,2022-03-14 08:23:55 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-46,641d44ac-d324-,3,3,3,Group3,2-3 years,Region3,2,4,2,2,,2022-03-14 22:40:09 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.30"
2023-08-27_17:35:06-47,cdca6231-05e6-,5,4,4,Group5,2-3 years,Region4,3,4,3,3,,2022-03-16 14:36:28 UTC,/contact/,https://catalog.beepbeep.gov/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-48,4b61d47b-d12e-,4,4,4,Group2,1-2 years,Region3,4,2,3,4,,2022-03-16 17:47:22 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (X11; CrOS x86_64 14469.41.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.57 Safari/537.36"
2023-08-27_17:35:06-49,ffd6f618-5464-,4,5,3,Group4,3-4 years,Region4,2,2,2,2,,2022-03-16 19:57:51 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-50,dd85f57f-48e5-,4,4,3,Group4,2-3 years,Region4,2,3,2,3,,2022-03-16 23:45:03 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-51,3e35c9bf-1938-,3,4,4,Group2,2-3 years,Region4,1,4,2,3,,2022-03-17 23:59:10 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; 5087Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
2023-08-27_17:35:06-52,84db58d6-34e9-,2,3,2,Group2,1-2 years,Region2,2,2,2,2,,2022-03-18 02:53:38 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Linux; Android 11; 5087Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
2023-08-27_17:35:06-53,5d69d390-6481-,4,4,2,Group2,1-2 years,Region2,2,2,2,2,,2022-03-18 16:54:12 UTC,/contact/,https://beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-54,1636cf8c-f62a-,5,5,5,Group3,3-4 years,Region3,2,2,2,2,,2022-03-18 17:40:45 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36"
2023-08-27_17:35:06-55,e65c262b-7dab-,3,4,4,Group2,2-3 years,Region3,2,3,2,3,,2022-03-18 18:57:51 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Linux; Android 12; SM-G990U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.58 Mobile Safari/537.36"
2023-08-27_17:35:06-56,bc8a4dff-ee31-,5,4,4,Group5,3-4 years,Region5,3,4,4,4,,2022-03-19 15:19:31 UTC,/contact/,nan,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36 Edg/99.0.1150.39"
2023-08-27_17:35:06-57,eba5f933-13b6-,4,3,4,Group3,2-3 years,Region3,1,3,3,3,,2022-03-19 19:37:21 UTC,/contact/,https://catalog.beepbeep.gov/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36"
2023-08-27_17:35:06-58,14652fdf-ca8f-,3,4,4,Group3,2-3 years,Region3,1,2,1,3,,2022-03-19 19:38:07 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-59,9cefc2fc-111c-,4,4,3,Group2,2-3 years,Region4,3,4,3,4,,2022-03-19 19:39:21 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-60,7e239f7b-5845-,3,3,3,Group3,1-2 years,Region3,3,2,2,3,,2022-03-19 19:39:38 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-61,1f3bde62-56c9-,4,4,4,Group3,2-3 years,Region3,3,3,4,3,,2022-03-19 19:39:46 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-62,03adecd4-b8a8-,5,5,5,Group5,4-5 years,Region5,5,5,4,4,,2022-03-19 19:41:01 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-63,4cfaf81b-3cb5-,4,3,2,Group2,2-3 years,Region4,3,5,3,2,,2022-03-19 19:42:08 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-64,d5d6d73f-342b-,3,3,3,Group3,1-2 years,Region2,2,2,2,2,,2022-03-19 19:43:05 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-65,99486ad3-dcdc-,4,4,3,Group2,2-3 years,Region4,3,3,3,3,,2022-03-19 19:43:11 UTC,/contact/,2,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-66,00c4a6ad-4219-,4,4,4,Group3,2-3 years,Region4,2,2,2,2,,2022-03-19 19:43:26 UTC,/contact/,bing.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-67,8583441f-2426-,3,4,4,Group2,2-3 years,Region4,2,2,3,4,,2022-03-19 19:46:25 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-68,9e1b4296-e57d-,3,4,4,Group3,1-2 years,Region2,2,4,2,2,,2022-03-19 19:46:38 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-69,72c61780-3026-,3,2,4,Group3,1-2 years,Region2,2,2,2,2,,2022-03-19 19:48:38 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-70,7912b9a0-9f52-,4,2,3,Group3,3-4 years,Region4,1,2,2,2,,2022-03-19 19:49:17 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-71,fdd2d574-112b-,3,4,3,Group3,2-3 years,Region3,2,2,2,2,,2022-03-19 19:50:42 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-72,a28046ef-a52e-,5,4,4,Group3,2-3 years,Region3,2,2,2,4,,2022-03-19 19:51:24 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-73,f2cd944a-7b87-,4,4,3,Group4,2-3 years,Region4,2,2,2,1,,2022-03-19 19:51:56 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-74,6ed18498-9f7f-,4,4,3,Group3,2-3 years,Region2,1,2,2,3,,2022-03-19 19:52:10 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-75,1e3dbd91-fe40-,4,5,4,Group3,2-3 years,Region4,2,2,2,2,,2022-03-19 19:52:40 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-76,e0bab191-a76e-,3,4,3,Group2,4-5 years,Region4,4,3,2,3,,2022-03-19 19:53:06 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-77,6d595aaf-3d47-,4,4,5,Group4,3-4 years,Region4,3,3,3,4,,2022-03-19 19:53:57 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-78,dba2c357-5ba5-,3,4,3,Group3,1-2 years,Region2,2,2,2,2,,2022-03-19 19:54:14 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-79,0fb4ae5f-90b1-,5,5,5,Group5,4-5 years,Region5,4,2,2,3,,2022-03-19 19:54:33 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-80,d943209e-8ad7-,5,4,4,Group4,3-4 years,Region5,4,5,4,2,,2022-03-19 19:55:02 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-81,b4d40115-8b84-,4,4,3,Group3,2-3 years,Region3,3,2,3,3,,2022-03-19 19:55:22 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-82,3338e788-e5e1-,3,3,4,Group2,1-2 years,Region2,2,2,1,3,,2022-03-19 19:55:28 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-83,d47bc6b0-d062-,4,4,4,Group4,2-3 years,Region3,2,1,2,2,,2022-03-19 19:55:34 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-84,d78a84a5-0f0d-,4,4,3,Group3,2-3 years,Region3,2,2,3,3,,2022-03-19 19:56:15 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-85,f6af7055-1e08-,4,4,4,Group2,3-4 years,Region4,2,5,2,3,,2022-03-19 19:56:58 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-86,34c056f4-ed94-,4,4,4,Group3,2-3 years,Region4,4,4,4,4,,2022-03-19 19:57:13 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-87,0920765e-4507-,5,4,5,Group5,3-4 years,Region5,2,4,3,2,,2022-03-19 19:57:27 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-88,a1fcdeef-f1d0-,5,4,4,Group5,4-5 years,Region5,3,4,4,2,,2022-03-19 19:57:37 UTC,nan,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
2023-08-27_17:35:06-89,267acb97-6463-,5,5,5,Group4,3-4 years,Region4,3,4,5,4,,2022-03-19 19:58:04 UTC,/contact/,nan,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0
